metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
snapt.balancer.backend.active.servers,gauge,,,,Current number of active servers.,0,snapt_balancer,
snapt.balancer.backend.backup.servers,gauge,,,,Current number of backup servers.,0,snapt_balancer,
snapt.balancer.backend.bytes.in.total,count,,byte,,Current total of incoming bytes. By default submitted as count if using prometheus,0,snapt_balancer,
snapt.balancer.backend.bytes.out.total,count,,byte,,Current total of outgoing bytes. By default submitted as count if using prometheus,0,snapt_balancer,
snapt.balancer.backend.check.last.change.seconds,gauge,,,,Number of seconds since the last UP<->DOWN transition.,0,snapt_balancer,
snapt.balancer.backend.check.up.down.total,count,,,,Total number of UP->DOWN transitions.,0,snapt_balancer,
snapt.balancer.backend.client.aborts.total,count,,,,Total number of data transfers aborted by the client.,0,snapt_balancer,
snapt.balancer.backend.connect.time.average.seconds,gauge,,,,Avg. connect time for last 1024 successful connections.,0,snapt_balancer,
snapt.balancer.backend.connection.attempts.total,count,,,,Total number of connection establishment attempts.,0,snapt_balancer,
snapt.balancer.backend.connection.errors.total,count,,,,Total number of connection errors.,0,snapt_balancer,
snapt.balancer.backend.connection.reuses.total,count,,,,Total number of connection reuses.,0,snapt_balancer,
snapt.balancer.backend.current.queue,gauge,,,,Current number of queued requests.,0,snapt_balancer,
snapt.balancer.backend.current.sessions,gauge,,,,Current number of active sessions.,0,snapt_balancer,
snapt.balancer.backend.downtime.seconds.total,count,,,,Total downtime (in seconds) for the service.,0,snapt_balancer,
snapt.balancer.backend.failed.header.rewriting.total,count,,,,Total number of failed header rewriting warnings.,0,snapt_balancer,
snapt.balancer.backend.http.cache.hits.total,count,,,,Total number of HTTP cache hits.,0,snapt_balancer,
snapt.balancer.backend.http.cache.lookups.total,count,,,,Total number of HTTP cache lookups.,0,snapt_balancer,
snapt.balancer.backend.http.comp.bytes.bypassed.total,count,,byte,,Total number of bytes that bypassed the HTTP compressor (CPU/BW limit).,0,snapt_balancer,
snapt.balancer.backend.http.comp.bytes.in.total,count,,byte,,Total number of HTTP response bytes fed to the compressor.,0,snapt_balancer,
snapt.balancer.backend.http.comp.bytes.out.total,count,,byte,,Total number of HTTP response bytes emitted by the compressor.,0,snapt_balancer,
snapt.balancer.backend.http.comp.responses.total,count,,,,Total number of HTTP responses that were compressed.,0,snapt_balancer,
snapt.balancer.backend.http.requests.total,count,,,,Total number of HTTP requests received.,0,snapt_balancer,
snapt.balancer.backend.http.responses.total,count,,,,Total number of HTTP responses.,0,snapt_balancer,
snapt.balancer.backend.internal.errors.total,count,,,,Total number of internal errors since process started (since >= 2.2).,0,snapt_balancer,
snapt.balancer.backend.last.session.seconds,gauge,,,,Number of seconds since last session assigned to server/backend.,0,snapt_balancer,
snapt.balancer.backend.limit.sessions,gauge,,,,Configured session limit.,0,snapt_balancer,
snapt.balancer.backend.loadbalanced.total,count,,,,"Total number of times a service was selected, either for new sessions, or when redispatching.",0,snapt_balancer,
snapt.balancer.backend.max.connect.time.seconds,gauge,,,,Maximum observed time spent waiting for a connection to complete,0,snapt_balancer,
snapt.balancer.backend.max.queue,gauge,,,,Maximum observed number of queued requests.,0,snapt_balancer,
snapt.balancer.backend.max.queue.time.seconds,gauge,,,,Maximum observed time spent in the queue,0,snapt_balancer,
snapt.balancer.backend.max.response.time.seconds,gauge,,,,Maximum observed time spent waiting for a server response,0,snapt_balancer,
snapt.balancer.backend.max.session.rate,gauge,,,,Maximum observed number of sessions per second.,0,snapt_balancer,
snapt.balancer.backend.max.sessions,gauge,,,,Maximum observed number of active sessions.,0,snapt_balancer,
snapt.balancer.backend.max.total.time.seconds,gauge,,,,Maximum observed total request+response time (request+queue+connect+response+processing),0,snapt_balancer,
snapt.balancer.backend.queue.time.average.seconds,gauge,,,,Avg. queue time for last 1024 successful connections.,0,snapt_balancer,
snapt.balancer.backend.redispatch.warnings.total,count,,,,Total number of redispatch warnings.,0,snapt_balancer,
snapt.balancer.backend.requests.denied.total,count,,,,Total number of denied requests.,0,snapt_balancer,
snapt.balancer.backend.response.errors.total,count,,,,Total number of response errors.,0,snapt_balancer,
snapt.balancer.backend.response.time.average.seconds,gauge,,,,Avg. response time for last 1024 successful connections.,0,snapt_balancer,
snapt.balancer.backend.responses.denied.total,count,,,,Total number of denied responses.,0,snapt_balancer,
snapt.balancer.backend.retry.warnings.total,count,,,,Total number of retry warnings.,0,snapt_balancer,
snapt.balancer.backend.server.aborts.total,count,,,,Total number of data transfers aborted by the server.,0,snapt_balancer,
snapt.balancer.backend.sessions.total,count,,,,Total number of sessions.,0,snapt_balancer,
snapt.balancer.backend.status,gauge,,,,"Current status of the service. <= 2.3: gauge value determines state (frontend: 0=STOP, 1=UP, 2=FULL - backend: 0=DOWN, 1=UP - server: 0=DOWN, 1=UP, 2=MAINT, 3=DRAIN, 4=NOLB). >= 2.4 per state label value.",0,snapt_balancer,
snapt.balancer.backend.total.time.average.seconds,gauge,,,,Avg. total time for last 1024 successful connections.,0,snapt_balancer,
snapt.balancer.backend.uweight,gauge,,,,Server's user weight or sum of active servers' user weights for a backend (>= 2.4).,0,snapt_balancer,
snapt.balancer.backend.weight,gauge,,,,Service weight.,0,snapt_balancer,
snapt.balancer.backend_hosts,gauge,,host,,Number of backend hosts (legacy check only).,0,snapt_balancer,backend hosts
snapt.balancer.backend.bytes.in_rate,gauge,,byte,second,Rate of bytes in on backend hosts (legacy check only).,0,snapt_balancer,backend bytes in rate
snapt.balancer.backend.bytes.out_rate,gauge,,byte,second,Rate of bytes out on backend hosts (legacy check only).,0,snapt_balancer,backend bytes out rate
snapt.balancer.backend.connect.time,gauge,,millisecond,,Average connect time over the last 1024 backend requests (legacy check only).,0,snapt_balancer,backend conn time
snapt.balancer.backend.denied.req_rate,gauge,,request,second,Number of backend requests denied due to security concerns (legacy check only).,-1,snapt_balancer,backend den req rate
snapt.balancer.backend.denied.resp_rate,gauge,,response,second,Number of backend responses denied due to security concerns (legacy check only).,-1,snapt_balancer,backend den resp rate
snapt.balancer.backend.errors.con_rate,gauge,,error,second,Rate of backend requests that encountered an error trying to connect to a backend server (legacy check only).,-1,snapt_balancer,backend err conn rate
snapt.balancer.backend.errors.resp_rate,gauge,,error,second,Rate of backend responses aborted due to error (legacy check only).,-1,snapt_balancer,backend err resp rate
snapt.balancer.backend.queue.current,gauge,,request,,Number of backend requests without an assigned backend (legacy check only).,0,snapt_balancer,backend queue
snapt.balancer.backend.queue.time,gauge,,millisecond,,Average queue time over the last 1024 backend requests (legacy check only).,0,snapt_balancer,backend queue time
snapt.balancer.backend.response.1xx,gauge,,response,,Backend HTTP responses with 1xx code (legacy check only).,0,snapt_balancer,backend resp 1xx
snapt.balancer.backend.response.2xx,gauge,,response,,Backend HTTP responses with 2xx code (legacy check only).,0,snapt_balancer,backend resp 2xx
snapt.balancer.backend.response.3xx,gauge,,response,,Backend HTTP responses with 3xx code (legacy check only).,0,snapt_balancer,backend resp 3xx
snapt.balancer.backend.response.4xx,gauge,,response,,Backend HTTP responses with 4xx code (legacy check only).,-1,snapt_balancer,backend resp 4xx
snapt.balancer.backend.response.5xx,gauge,,response,,Backend HTTP responses with 5xx code (legacy check only).,-1,snapt_balancer,backend resp 5xx
snapt.balancer.backend.response.other,gauge,,response,,"Backend HTTP responses with other code (protocol error, legacy check only).",0,snapt_balancer,backend resp other
snapt.balancer.backend.response.time,gauge,,millisecond,,"Average response time over the last 1024 backend requests (0 for TCP, legacy check only).",-1,snapt_balancer,backend resp time
